node_index,source_node_id,pos_x,pos_y,is_stop_only
156,2337351196,7097.09,912.61,False
157,2337351204,7029.74,1041.16,False
158,cluster_2337351169_251003121,7118.96,771.61,False
159,2337351196,7097.09,912.61,False
160,2337351133,7103.83,586.58,False
161,cluster_2337351169_251003121,7118.96,771.61,False
162,434404883,6642.75,3505.63,False
163,gneJ8,6621.35,3551.25,False
164,1200363969,4787.04,4711.84,False
165,305559050,4773.83,4714.88,False
166,1834001565,5702.8,4742.06,False
167,cluster_267289886_361444651_7658158464,5619.08,4724.97,False
168,4959722733,5628.25,4700.7,False
169,cluster_267289886_361444651_7658158464,5619.08,4724.97,False
170,cluster_269095126_452402576,5806.26,3853.63,False
171,89129103,5846.58,3824.61,False
172,cluster_1742723593_310442384,6910.77,4583.45,False
173,cluster_1834036285_26288876,6791.91,4574.56,False
174,cluster_1834036309_274591089_274591093,6942.21,4643.03,False
175,cluster_1742723593_310442384,6910.77,4583.45,False
176,cluster_1804327775_89173755,3577.17,5041.77,False
177,cluster_1423242652_1815670962_1815670964_89173763,3548.1,4982.9,False
178,cluster_1804327779_89173751,3580.21,5069.05,False
179,cluster_1804327775_89173755,3577.17,5041.77,False
180,cluster_1804327782_1804327785_2247460531_344963236,3597.03,5092.21,False
181,cluster_1804327779_89173751,3580.21,5069.05,False
182,cluster_1423242663_267783904,3629.84,5107.88,False
183,cluster_1804327782_1804327785_2247460531_344963236,3597.03,5092.21,False
184,249179921,3683.99,5151.12,False
185,cluster_1423242663_267783904,3629.84,5107.88,False
186,1423242716,3694.78,5186.22,False
187,249179921,3683.99,5151.12,False
188,cluster_1602381793_1782978609_1804327788_313321254,3692.38,5255.35,False
189,1423242716,3694.78,5186.22,False
190,2108878044,7532.78,1964.25,False
191,1209218742,7588.94,1956.09,False
192,1183322529,2708.18,5593.56,False
193,cluster_1211777284_292226065,2614.66,5702.08,False
194,1617626350,2717.3,5581.46,False
195,1183322529,2708.18,5593.56,False
196,1617626288,2754.3,5478.07,False
197,1617626346,2708.33,5574.39,False
198,315993628,2782.12,5446.23,False
199,1617626288,2754.3,5478.07,False
200,912506384,5781.11,4750.59,False
201,1834001565,5702.8,4742.06,False
202,1246262926,5832.56,4756.9,False
203,912506384,5781.11,4750.59,False
204,461956083,5964.81,1361.82,False
205,288771074,6009.93,1369.11,False
206,7294444485,9416.97,1410.63,False
207,414267408,9547.88,1403.96,False
208,92629193,9358.9,1523.63,False
209,7294444485,9416.97,1410.63,False
210,472442946,6569.61,2232.82,False
211,cluster_1795399122_1852723938_1852723941_1852723942_21532605_2337351260_975729494,6531.74,2227.17,False
212,472442969,6606.07,2243.24,False
213,472442946,6569.61,2232.82,False
214,2110354475,6674.12,2336.49,False
215,975729496,6674.69,2334.34,False
216,cluster_1496557396_699711095,6674.9,2368.46,False
217,2110354475,6674.12,2336.49,False
218,861273046,5801.5,7636.62,False
219,1221374623,5794.52,7671.92,False
220,1401628411,4068.91,8145.45,False
221,cluster_2683750246_517248671,4082.72,8138.18,False
222,1223385994,2639.6,6360.58,False
223,1223385992,2756.33,6312.47,False
224,1312295527,2349.01,4230.21,False
225,1234714136,2413.71,4283.1,False
226,cluster_1079587068_1170943732_1312295571_1664159084_344960362,2164.61,4041.86,False
227,1312295527,2349.01,4230.21,False
228,89173867,2071.94,4001.69,False
229,cluster_1079587068_1170943732_1312295571_1664159084_344960362,2164.61,4041.86,False
230,267287810,5863.0,4868.37,False
231,cluster_1031765029_271678812_913688004,5857.16,4818.54,False
232,cluster_1031765029_271678812_913688004,5857.16,4818.54,False
233,361444911,5850.16,4758.8,False
234,267395409,5848.02,4684.41,False
235,361443733,5845.17,4626.11,False
236,1427080829,4104.46,7037.79,False
237,1427080838,4093.34,7052.06,False
238,1427080800,4141.97,6982.49,False
239,1427080829,4104.46,7037.79,False
240,1427080793,4155.84,6967.23,False
241,1427080800,4141.97,6982.49,False
242,1840500185,4685.53,6588.47,False
243,cluster_1840500134_497596849,4601.64,6526.63,False
244,cluster_1242194671_6681347650,4760.55,6642.43,False
245,1840500185,4685.53,6588.47,False
246,1242949433,5610.87,4739.9,False
247,cluster_1796993069_267286892_7626856595,5584.31,4833.43,False
248,cluster_1242211376_1509832031_1782546507,4921.66,6543.6,False
249,342146149,4920.12,6558.19,False
250,1704092486,4887.1,6545.03,False
251,cluster_1242211376_1509832031_1782546507,4921.66,6543.6,False
252,cluster_1875873944_1875873956_273472399,4844.29,6539.18,False
253,1704092486,4887.1,6545.03,False
254,267289887,5656.73,4640.2,False
255,cluster_1833941824_7658158471,5649.8,4646.06,False
256,1242949435,5633.44,4690.02,False
257,4959722733,5628.25,4700.7,False
258,cluster_1833941824_7658158471,5649.8,4646.06,False
259,1242949435,5633.44,4690.02,False
260,cluster_267289886_361444651_7658158464,5619.08,4724.97,False
261,1242949433,5610.87,4739.9,False
262,287149943,9686.37,6177.22,False
263,17203179,9630.04,6038.2,False
264,2121444838,8977.94,1451.88,False
265,92629170,8907.81,1413.63,False
266,255887508,2911.78,5273.8,False
267,307445214,2861.74,5276.33,False
268,98082045,6669.4,4599.01,False
269,13802232,6538.52,5156.1,False
270,98082051,6691.23,4397.55,False
271,98082045,6669.4,4599.01,False
272,13802232,6538.52,5156.1,False
273,98101335,6499.86,5214.92,False
274,271683116,6261.61,4923.02,False
275,cluster_2358496785_2358496786_2362441539_2362441541_2362441548_335551657_89129168,6210.06,4876.07,False
276,1259332726,3495.89,8115.24,False
277,1259332722,3564.11,8256.4,False
278,255886902,2047.38,5416.4,False
279,255897813,1977.3,5382.18,False
280,361443733,5845.17,4626.11,False
281,cluster_1264133295_267395405_267395421,5849.23,4599.65,False
282,1266817153,3624.23,7246.47,False
283,417067501,3654.73,7244.14,False
284,cluster_1406112715_417067483,4002.09,7237.47,False
285,417067469,3896.18,7263.4,False
286,1282770585,6903.14,7857.79,False
287,cluster_1282770676_1407203497,6936.8,7833.3,False
288,1282770564,6909.71,7810.9,False
289,cluster_1282770676_1407203497,6936.8,7833.3,False
290,360822854,6776.5,8723.95,False
291,305515090,6724.95,8221.88,False
292,1282770806,6879.46,7845.73,False
293,1282770564,6909.71,7810.9,False
294,473486427,6753.27,7941.1,False
295,cluster_281437367_470488916_7631216910,6791.92,7903.13,False
296,1282770563,6759.42,7966.53,False
297,473486430,6729.07,8013.94,False
298,1282770563,6759.42,7966.53,False
299,473486427,6753.27,7941.1,False
300,281435931,6766.67,7978.41,False
301,1282770563,6759.42,7966.53,False
302,470488913,6742.08,7909.31,False
303,cluster_281437367_470488916_7631216910,6791.92,7903.13,False
304,1290118622,3108.19,4315.99,False
305,1290118730,3123.45,4314.26,False
306,1290118632,3084.02,4320.32,False
307,1290118622,3108.19,4315.99,False
308,1290118586,3198.68,4272.44,False
309,cluster_1290118607_2230159495,3198.66,4260.04,False
310,1290118659,3198.78,4287.67,False
311,1290118586,3198.68,4272.44,False
312,1290118745,3199.05,4304.4,False
313,1290118659,3198.78,4287.67,False
314,1290118616,3162.16,4289.06,False
315,1290118745,3199.05,4304.4,False
316,1290118586,3198.68,4272.44,False
317,1290118616,3162.16,4289.06,False
318,1290118603,2966.27,4406.9,False
319,255884041,2963.82,4376.11,False
320,1290118637,3096.74,4438.13,False
321,1290118742,3099.87,4469.05,False
322,cluster_1290118707_2230159454_2230159577_307620708,3270.99,4257.91,False
323,1290118586,3198.68,4272.44,False
324,1290118709,3106.78,4297.04,False
325,1290118622,3108.19,4315.99,False
326,1290118616,3162.16,4289.06,False
327,1290118659,3198.78,4287.67,False
328,1290118668,3098.52,4407.93,False
329,1290118739,3137.91,4399.86,False
330,cluster_3450556276_3466088120_7625669954_7625669955,10016.77,2604.37,False
331,cluster_3359328497_3450556278_3450556285_3450556995_3466088116_768188545,10042.21,2552.37,False
332,1295323766,2002.22,5666.17,False
333,cluster_1295323763_255887237,2065.42,5724.61,False
334,1261109191,6801.43,5060.32,False
335,31065768,6771.39,5013.14,False
336,cluster_1434862813_1500083118_292226066,2578.07,5672.24,False
337,1211774688,2561.89,5659.69,False
338,1328156485,7199.94,3710.94,False
339,1307952775,7227.71,3694.63,False
340,1328156475,7164.78,3731.82,False
341,1328156485,7199.94,3710.94,False
342,1328156530,7128.3,3752.78,False
343,1328156475,7164.78,3731.82,False
344,1328156579,7092.62,3773.21,False
345,1328156530,7128.3,3752.78,False
346,1307952731,7054.2,3807.89,False
347,1328156579,7092.62,3773.21,False
348,6292979888,7056.66,3812.23,False
349,1307952731,7054.2,3807.89,False
350,5203101108,7071.13,3837.77,False
351,6292979888,7056.66,3812.23,False
352,cluster_1328156536_6292979893,7095.75,3881.62,False
353,5203101108,7071.13,3837.77,False
354,cluster_1307952790_4913529889,7342.28,4210.87,False
355,1307952754,7369.91,4197.04,False
356,cluster_1328156421_6292979892,7248.56,3793.79,False
357,cluster_1307952714_6292979891,7322.58,3751.71,False
358,4566694449,7225.47,3811.44,False
359,cluster_1328156421_6292979892,7248.56,3793.79,False
360,4566694452,7127.49,3868.42,False
361,4566694449,7225.47,3811.44,False
362,cluster_1328156536_6292979893,7095.75,3881.62,False
363,4566694452,7127.49,3868.42,False
364,cluster_1307952767_3797175446_4566694465,7029.09,3928.22,False
365,cluster_1328156536_6292979893,7095.75,3881.62,False
366,cluster_1307952721_4913529885,7308.18,4227.74,False
367,1307952716,7183.68,4289.98,False
368,7283949778,7518.28,4244.01,False
369,7283949780,7507.33,4223.13,False
370,cluster_1307952772_3048861122,7559.82,4347.58,False
371,7283949778,7518.28,4244.01,False
372,cluster_1307952790_4913529889,7342.28,4210.87,False
373,cluster_1307952721_4913529885,7308.18,4227.74,False
374,1307952754,7369.91,4197.04,False
375,cluster_1307952790_4913529889,7342.28,4210.87,False
376,cluster_1307952723_2597081141,7426.34,4171.58,False
377,1307952754,7369.91,4197.04,False
378,1307952732,7449.04,4168.78,False
379,cluster_1307952723_2597081141,7426.34,4171.58,False
380,1307952742,7470.61,4175.96,False
381,1307952732,7449.04,4168.78,False
382,7283949780,7507.33,4223.13,False
383,1307952742,7470.61,4175.96,False
384,769277614,7366.95,3621.79,False
385,769277600,7292.5,3696.99,False
386,1307952746,7319.67,4150.86,False
387,cluster_1307952721_4913529885,7308.18,4227.74,False
388,1544146612,7484.78,4149.5,False
389,1307952742,7470.61,4175.96,False
390,1307952756,7540.65,4120.09,False
391,1544146612,7484.78,4149.5,False
392,1307952747,7454.68,4040.42,False
393,1544146612,7484.78,4149.5,False
394,1307952762,7436.93,4040.13,False
395,1307952747,7454.68,4040.42,False
396,cluster_1307952723_2597081141,7426.34,4171.58,False
397,1307952762,7436.93,4040.13,False
398,1307952747,7454.68,4040.42,False
399,1307952732,7449.04,4168.78,False
400,1311501589,8313.2,4172.99,False
401,1311501566,8276.51,3919.63,False
402,266358436,5444.33,3144.63,False
403,266359524,5590.23,3301.95,False
404,2109053612,6519.9,2423.93,False
405,gneJ378,6521.99,2562.46,False
406,gneJ135,6519.3,2405.36,False
407,2109053612,6519.9,2423.93,False
408,31065768,6771.39,5013.14,False
409,cluster_1261109188_7631607547,6768.02,5060.12,False
410,6681353037,3102.02,6467.65,False
411,310281913,3277.56,6301.28,False
412,1324146641,6864.08,5162.52,False
413,1324146638,6828.72,5196.74,False
414,1328156579,7092.62,3773.21,False
415,1328156490,7121.5,3821.15,False
416,1328156485,7199.94,3710.94,False
417,cluster_1328156421_6292979892,7248.56,3793.79,False
418,5814417536,6999.91,3877.06,False
419,gneJ289,6977.38,3837.04,False
420,gneJ289,6977.38,3837.04,False
421,gneJ286,6964.71,3814.52,False
422,cluster_2775514385_3797175442_7631074660,7003.68,3889.65,False
423,5814417536,6999.91,3877.06,False
424,5814417534,7015.03,3903.55,False
425,cluster_2775514385_3797175442_7631074660,7003.68,3889.65,False
426,cluster_1307952767_3797175446_4566694465,7029.09,3928.22,False
427,5814417534,7015.03,3903.55,False
428,1328156475,7164.78,3731.82,False
429,1328156697,7192.36,3779.68,False
430,1328156530,7128.3,3752.78,False
431,1328156431,7156.8,3800.66,False
432,2703940993,8317.76,4554.48,False
433,260470951,8275.39,4577.81,False
434,349303319,8348.89,4545.15,False
435,2703940993,8317.76,4554.48,False
436,1333660328,8214.06,4624.04,False
437,1333660324,8206.83,4604.57,False
438,3311064212,8160.66,4705.46,False
439,2439881583,8163.19,4712.81,False
440,279263508,8148.45,4670.06,False
441,3311064212,8160.66,4705.46,False
442,5684588321,8088.64,4691.89,False
443,279263508,8148.45,4670.06,False
444,5684588322,8081.49,4694.51,False
445,5684588321,8088.64,4691.89,False
446,279263506,7989.64,4728.4,False
447,5684588322,8081.49,4694.51,False
448,1333660326,8083.07,4647.87,False
449,1333660301,8090.04,4666.64,False
450,1333660309,8194.62,4630.71,False
451,1333660315,8187.69,4612.05,False
452,1333660325,8046.37,4681.63,False
453,1333660276,8039.29,4662.55,False
454,1333660332,8249.71,4611.8,False
455,1333660272,8241.93,4590.87,False
456,1333660333,8229.88,4618.61,False
457,1333660274,8222.41,4598.49,False
458,1333660329,8063.43,4675.77,False
459,1333660270,8056.38,4656.81,False
460,1333660271,8142.38,4648.98,False
461,1333660285,8136.34,4630.08,False
462,1333660275,8126.04,4654.27,False
463,1333660289,8119.17,4635.77,False
464,1333660334,8108.28,4660.37,False
465,1333660310,8101.36,4641.74,False
466,1333660313,8260.02,4583.81,False
467,1333660284,8268.07,4605.49,False
468,1333660311,8176.27,4637.02,False
469,1333660322,8169.53,4618.9,False
470,1333660304,8161.06,4642.25,False
471,1333660314,8154.28,4624.01,False
472,1333685049,9825.06,4229.93,False
473,1333685146,9868.45,4307.99,False
474,1333685062,8519.61,4494.86,False
475,349303319,8348.89,4545.15,False
476,1333685099,8805.57,4436.89,False
477,1333685062,8519.61,4494.86,False
478,1333685047,9225.66,4360.23,False
479,1333685099,8805.57,4436.89,False
480,270494133,9418.1,4325.49,False
481,1333685047,9225.66,4360.23,False
482,1333685135,9543.24,4300.37,False
483,270494133,9418.1,4325.49,False
484,1333685177,9220.56,4330.16,False
485,1333685047,9225.66,4360.23,False
486,1333685203,8511.76,4457.82,False
487,1333685062,8519.61,4494.86,False
488,7504069799,8412.54,4903.82,False
489,cluster_279454862_364155137,8376.63,4592.3,False
490,1333685056,8420.74,5038.94,False
491,7504069799,8412.54,4903.82,False
492,1333685091,8801.19,4409.47,False
493,1333685099,8805.57,4436.89,False
494,1333685109,9538.44,4274.85,False
495,1333685135,9543.24,4300.37,False
496,1333685184,9477.78,4402.9,False
497,270494138,9371.81,4421.55,False
498,1333685180,9967.4,4432.48,False
499,1333685211,9946.46,4448.98,False
500,1333685038,9606.7,4260.53,False
501,1333685135,9543.24,4300.37,False
502,260470955,7910.2,4713.07,False
503,274526647,7903.95,4726.35,False
504,1333660276,8039.29,4662.55,False
505,260470955,7910.2,4713.07,False
506,1333660315,8187.69,4612.05,False
507,1333660322,8169.53,4618.9,False
508,1333660324,8206.83,4604.57,False
509,1333660315,8187.69,4612.05,False
510,1333660274,8222.41,4598.49,False
511,1333660324,8206.83,4604.57,False
512,1333660272,8241.93,4590.87,False
513,1333660274,8222.41,4598.49,False
514,1333660313,8260.02,4583.81,False
515,1333660272,8241.93,4590.87,False
516,260470951,8275.39,4577.81,False
517,1333660313,8260.02,4583.81,False
518,1333660270,8056.38,4656.81,False
519,1333660276,8039.29,4662.55,False
520,279299068,8070.0,4652.04,False
521,1333660270,8056.38,4656.81,False
522,1333660326,8083.07,4647.87,False
523,279299068,8070.0,4652.04,False
524,1333660310,8101.36,4641.74,False
525,1333660326,8083.07,4647.87,False
526,1333660289,8119.17,4635.77,False
527,1333660310,8101.36,4641.74,False
528,1333660285,8136.34,4630.08,False
529,1333660289,8119.17,4635.77,False
530,1333660314,8154.28,4624.01,False
531,1333660285,8136.34,4630.08,False
532,1333660322,8169.53,4618.9,False
533,1333660314,8154.28,4624.01,False
534,270494144,9148.43,4904.09,False
535,270494140,9143.13,4783.93,False
536,270494134,9396.72,4384.03,False
537,270494132,9402.24,4375.78,False
538,270494134,9396.72,4384.03,False
539,1333685154,9870.31,4312.06,False
540,270494145,9263.12,4411.35,False
541,270494134,9396.72,4384.03,False
542,1333685166,9138.29,4429.91,False
543,270494145,9263.12,4411.35,False
544,1693526352,9131.03,4430.96,False
545,1333685166,9138.29,4429.91,False
546,cluster_279454862_364155137,8376.63,4592.3,False
547,1693526352,9131.03,4430.96,False
548,1333774059,10738.41,3624.54,False
549,539912504,10739.68,3628.84,False
550,1333774088,10731.04,3599.96,False
551,1333774059,10738.41,3624.54,False
552,1759826925,10536.04,3975.85,False
553,1333774110,10847.1,3908.51,False
554,1333774149,10524.11,3647.51,False
555,1333774135,10523.28,3653.19,False
556,1333774157,10525.92,3615.22,False
557,1333774149,10524.11,3647.51,False
558,1333774039,10833.11,3855.85,False
559,1333774082,10866.95,3840.06,False
560,1333806682,9003.64,3897.65,False
561,1333806731,9421.65,3837.04,False
562,442452601,8453.16,4041.63,False
563,1333806682,9003.64,3897.65,False
564,1333806705,8301.95,4189.95,False
565,1311501589,8313.2,4172.99,False
566,791129440,8280.79,4193.13,False
567,1333806705,8301.95,4189.95,False
568,274866861,7535.17,4362.43,False
569,3048861121,7531.51,4358.01,False
570,1333806720,7664.24,4386.31,False
571,274866861,7535.17,4362.43,False
572,442452601,8453.16,4041.63,False
573,1311501589,8313.2,4172.99,False
574,25579837,7598.45,8066.79,False
575,269956731,7537.58,8053.59,False
576,1407203867,7655.16,8082.42,False
577,25579837,7598.45,8066.79,False
578,1407203992,7753.39,8169.15,False
579,1407203867,7655.16,8082.42,False
580,25579840,7766.09,8194.4,False
581,1407203992,7753.39,8169.15,False
582,472458031,7792.15,8259.83,False
583,25579840,7766.09,8194.4,False
584,25579843,8042.77,8763.58,False
585,472458031,7792.15,8259.83,False
586,1361896507,11153.93,3024.05,False
587,1343434649,11224.64,2002.91,False
588,1343434649,11224.64,2002.91,False
589,1361889758,11232.08,2019.92,False
590,1346892578,2910.03,6426.65,False
591,1346892413,2897.48,6408.92,False
592,1346892355,4174.1,6830.33,False
593,1346892328,4111.81,6733.27,False
594,1346892029,4041.35,6916.17,False
595,1346892355,4174.1,6830.33,False
596,1346892385,3913.73,6888.54,False
597,1346892453,3969.1,6849.42,False
598,1346892262,3906.98,6916.47,False
599,1346892641,3978.81,6864.85,False
600,1346892603,3748.42,6922.36,False
601,1346892171,3844.39,6931.55,False
602,60044018,3743.55,6947.45,False
603,1346892603,3748.42,6922.36,False
604,cluster_1389555095_760645394,2800.77,7043.74,False
605,760643857,3043.51,6815.26,False
606,5833532997,2260.2,7321.25,False
607,5408171958,2296.27,7304.59,False
608,6681353114,2230.02,7332.23,False
609,5833532997,2260.2,7321.25,False
610,5497220244,2227.45,7345.0,False
611,6681353114,2230.02,7332.23,False
612,gneJ459,2222.35,7352.42,False
613,5497220244,2227.45,7345.0,False
614,1247333912,2780.11,7073.43,False
615,cluster_1389555095_760645394,2800.77,7043.74,False
616,cluster_1406265109_5408171997_5408171998_5497210976_683260747,2629.0,7195.19,False
617,1247333912,2780.11,7073.43,False
618,3210534557,2514.43,7233.35,False
619,cluster_1406265109_5408171997_5408171998_5497210976_683260747,2629.0,7195.19,False
620,cluster_3210534558_3210534559,2500.62,7237.97,False
621,3210534557,2514.43,7233.35,False
622,5410806525,2334.88,7285.32,False
623,cluster_3210534558_3210534559,2500.62,7237.97,False
624,5408171958,2296.27,7304.59,False
625,5410806525,2334.88,7285.32,False
626,1346892423,3862.15,6963.47,False
627,60044018,3743.55,6947.45,False
628,1346892171,3844.39,6931.55,False
629,1346892423,3862.15,6963.47,False
630,1346892603,3748.42,6922.36,False
631,1346892423,3862.15,6963.47,False
632,1346892568,4223.11,6795.39,False
633,1346892090,4151.74,6704.93,False
634,1346892696,4288.67,6602.59,False
635,1346892568,4223.11,6795.39,False
636,60044050,4118.12,6705.77,False
637,1346892406,4129.0,6722.15,False
638,cluster_1840464646_2063411921_6681353012,3771.11,6676.77,False
639,89130942,3760.21,6672.11,False
640,1840464653,3808.22,6692.17,False
641,cluster_1840464646_2063411921_6681353012,3771.11,6676.77,False
642,7622955195,3818.54,6781.76,False
643,1840464653,3808.22,6692.17,False
644,1840464664,3747.4,6754.25,False
645,7622955195,3818.54,6781.76,False
646,6681353017,3734.19,6749.14,False
647,1840464664,3747.4,6754.25,False
648,1137585359,3728.79,6747.06,False
649,6681353017,3734.19,6749.14,False
650,6681352998,4123.72,6349.59,False
651,253623730,4215.11,6478.16,False
652,638323023,4120.22,6344.67,False
653,6681352998,4123.72,6349.59,False
654,1346892043,4477.19,7180.04,False
655,1346892680,4387.47,7235.68,False
656,1346892453,3969.1,6849.42,False
657,1346892102,3949.71,6818.57,False
658,1346892641,3978.81,6864.85,False
659,1346892453,3969.1,6849.42,False
660,611170881,5467.13,6661.08,False
661,611170883,5439.47,6689.92,False
662,1347589578,5563.62,6515.93,False
663,1421440961,5503.13,6563.02,False
664,1347627222,5878.65,6085.23,False
665,1347627221,5854.87,6126.96,False
666,267783914,3849.72,5027.96,False
667,267783911,3807.85,5040.94,False
668,349928891,4875.32,7511.84,False
669,321728088,4892.82,7597.61,False
